trial,phase,candidate_id,edge_type,driver,strength,active,effective_weight,effective_exchange_weight,drivers,requires,affinity,competition_groups,requires_glial_network,mediating_glia,generated_from
1,repeated_additive_loop,AUTO_GG_G0_G1,glia_glia,0.12235406595902565,0.0,False,0.0,0.0,G0;G1,,0.96,GG:G0;GG:G1,False,,local_domains:G0
1,repeated_additive_loop,AUTO_GG_G0_G2,glia_glia,0.016903463366197285,0.0,False,0.0,0.0,G0;G2,,0.42,GG:G0;GG:G2,False,,local_domains:G0
1,repeated_additive_loop,AUTO_GG_G1_G2,glia_glia,0.026562585289738594,0.0,False,0.0,0.0,G1;G2,,0.66,GG:G1;GG:G2,False,,local_domains:G1
1,repeated_additive_loop,AUTO_GN_G0_N0,glia_to_neuron,0.06332662373433613,0.0,False,0.0,0.0,G0,,0.35,GN_IN:N0;GN_OUT:G0,True,0.0,local_domain:G0
1,repeated_additive_loop,AUTO_GN_G0_N1,glia_to_neuron,0.04523330266738295,0.0,False,0.0,0.0,G0,,0.25,GN_IN:N1;GN_OUT:G0,True,0.0,local_domain:G0
1,repeated_additive_loop,AUTO_GN_G0_N3,glia_to_neuron,0.0995132658682425,0.0,False,0.0,0.0,G0,,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0
1,repeated_additive_loop,AUTO_GN_G1_N0,glia_to_neuron,0.02294138736731731,0.0,False,0.0,0.0,G1,,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_GN_G1_N2,glia_to_neuron,0.025490430408130343,0.0,False,0.0,0.0,G1,,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_GN_G1_N3,glia_to_neuron,0.12745215204065172,0.0,False,0.0,0.0,G1,,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_GN_G1_N6,glia_to_neuron,0.03568660257138248,0.0,False,0.0,0.0,G1,,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_GN_G2_N1,glia_to_neuron,0.008049268269617755,0.0,False,0.0,0.0,G2,,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2
1,repeated_additive_loop,AUTO_GN_G2_N3,glia_to_neuron,0.024952731635815042,0.0,False,0.0,0.0,G2,,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2
1,repeated_additive_loop,AUTO_GN_G2_N6,glia_to_neuron,0.012073902404426634,0.0,False,0.0,0.0,G2,,0.3,GN_IN:N6;GN_OUT:G2,True,2.0,local_domain:G2
1,repeated_additive_loop,AUTO_TRI_N0_G1_N6,tripartite,0.025490430408130343,0.0,False,0.0,0.0,N0;G1,,0.2,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_TRI_N2_G1_N3,tripartite,0.025872786864252297,0.0,False,0.0,0.0,N2;G1,,0.20299999999999999,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_TRI_N2_G1_N6,tripartite,0.073922248183578,0.0,False,0.0,0.0,N2;G1,,0.58,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_TRI_N3_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N3;G1,,0.3,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_TRI_N4_G1_N2,tripartite,0.021385120574672414,0.0,False,0.0,0.0,N4;G1,,0.2,TRI_T:N2;TRI_G:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_TRI_N4_G1_N3,tripartite,0.037423961005676715,0.0,False,0.0,0.0,N4;G1,,0.35,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_TRI_N4_G1_N6,tripartite,0.10692560287336206,0.0,False,0.0,0.0,N4;G1,,1.0,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
1,repeated_additive_loop,AUTO_TRI_N5_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N5;G1,,0.35,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_GG_G0_G1,glia_glia,0.23247272532214872,0.04475820186484656,False,0.0,0.0,G0;G1,,0.96,GG:G0;GG:G1,False,,local_domains:G0
2,repeated_additive_loop,AUTO_GG_G0_G2,glia_glia,0.03211658039577485,0.0,False,0.0,0.0,G0;G2,,0.42,GG:G0;GG:G2,False,,local_domains:G0
2,repeated_additive_loop,AUTO_GG_G1_G2,glia_glia,0.050468912050503335,0.0,False,0.0,0.0,G1;G2,,0.66,GG:G1;GG:G2,False,,local_domains:G1
2,repeated_additive_loop,AUTO_GN_G0_N0,glia_to_neuron,0.12032058509523863,0.0,False,0.0,0.0,G0,,0.35,GN_IN:N0;GN_OUT:G0,True,0.0,local_domain:G0
2,repeated_additive_loop,AUTO_GN_G0_N1,glia_to_neuron,0.0859432750680276,0.0,False,0.0,0.0,G0,,0.25,GN_IN:N1;GN_OUT:G0,True,0.0,local_domain:G0
2,repeated_additive_loop,AUTO_GN_G0_N3,glia_to_neuron,0.18907520514966072,0.0,False,0.0,0.0,G0,,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0
2,repeated_additive_loop,AUTO_GN_G1_N0,glia_to_neuron,0.043588635997902886,0.0,False,0.0,0.0,G1,,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_GN_G1_N2,glia_to_neuron,0.04843181777544765,0.0,False,0.0,0.0,G1,,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_GN_G1_N3,glia_to_neuron,0.24215908887723825,0.0,False,0.0,0.0,G1,,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_GN_G1_N6,glia_to_neuron,0.06780454488562672,0.0,False,0.0,0.0,G1,,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_GN_G2_N1,glia_to_neuron,0.015293609712273738,0.0,False,0.0,0.0,G2,,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2
2,repeated_additive_loop,AUTO_GN_G2_N3,glia_to_neuron,0.04741019010804858,0.0,False,0.0,0.0,G2,,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2
2,repeated_additive_loop,AUTO_GN_G2_N6,glia_to_neuron,0.022940414568410606,0.0,False,0.0,0.0,G2,,0.3,GN_IN:N6;GN_OUT:G2,True,2.0,local_domain:G2
2,repeated_additive_loop,AUTO_TRI_N0_G1_N6,tripartite,0.04843181777544765,0.0,False,0.0,0.0,N0;G1,,0.2,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_TRI_N2_G1_N3,tripartite,0.04915829504207936,0.0,False,0.0,0.0,N2;G1,,0.20299999999999999,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_TRI_N2_G1_N6,tripartite,0.14045227154879816,0.0,False,0.0,0.0,N2;G1,,0.58,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_TRI_N3_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N3;G1,,0.3,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_TRI_N4_G1_N2,tripartite,0.038493217034410346,0.0,False,0.0,0.0,N4;G1,,0.2,TRI_T:N2;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_TRI_N4_G1_N3,tripartite,0.0673631298102181,0.0,False,0.0,0.0,N4;G1,,0.35,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_TRI_N4_G1_N6,tripartite,0.19246608517205172,0.0,False,0.0,0.0,N4;G1,,1.0,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
2,repeated_additive_loop,AUTO_TRI_N5_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N5;G1,,0.35,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_GG_G0_G1,glia_glia,0.33157951874895947,0.13280442844485185,False,0.0,0.0,G0;G1,,0.96,GG:G0;GG:G1,False,,local_domains:G0
3,repeated_additive_loop,AUTO_GG_G0_G2,glia_glia,0.045808385722394644,0.0,False,0.0,0.0,G0;G2,,0.42,GG:G0;GG:G2,False,,local_domains:G0
3,repeated_additive_loop,AUTO_GG_G1_G2,glia_glia,0.0719846061351916,0.0,False,0.0,0.0,G1;G2,,0.66,GG:G1;GG:G2,False,,local_domains:G1
3,repeated_additive_loop,AUTO_GN_G0_N0,glia_to_neuron,0.17161515032005092,0.0,False,0.0,0.0,G0,,0.35,GN_IN:N0;GN_OUT:G0,True,0.0,local_domain:G0
3,repeated_additive_loop,AUTO_GN_G0_N1,glia_to_neuron,0.1225822502286078,0.0,False,0.0,0.0,G0,,0.25,GN_IN:N1;GN_OUT:G0,True,0.0,local_domain:G0
3,repeated_additive_loop,AUTO_GN_G0_N3,glia_to_neuron,0.26968095050293717,0.0,False,0.0,0.0,G0,,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0
3,repeated_additive_loop,AUTO_GN_G1_N0,glia_to_neuron,0.062171159765429904,0.0,False,0.0,0.0,G1,,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_GN_G1_N2,glia_to_neuron,0.06907906640603323,0.0,False,0.0,0.0,G1,,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_GN_G1_N3,glia_to_neuron,0.34539533203016615,0.0,False,0.0,0.0,G1,,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_GN_G1_N6,glia_to_neuron,0.09671069296844653,0.0,False,0.0,0.0,G1,,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_GN_G2_N1,glia_to_neuron,0.02181351701066412,0.0,False,0.0,0.0,G2,,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2
3,repeated_additive_loop,AUTO_GN_G2_N3,glia_to_neuron,0.06762190273305876,0.0,False,0.0,0.0,G2,,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2
3,repeated_additive_loop,AUTO_GN_G2_N6,glia_to_neuron,0.032720275515996176,0.0,False,0.0,0.0,G2,,0.3,GN_IN:N6;GN_OUT:G2,True,2.0,local_domain:G2
3,repeated_additive_loop,AUTO_TRI_N0_G1_N6,tripartite,0.06907906640603323,0.0,False,0.0,0.0,N0;G1,,0.2,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_TRI_N2_G1_N3,tripartite,0.07011525240212373,0.0,False,0.0,0.0,N2;G1,,0.20299999999999999,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_TRI_N2_G1_N6,tripartite,0.20032929257749635,0.0,False,0.0,0.0,N2;G1,,0.58,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_TRI_N3_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N3;G1,,0.3,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_TRI_N4_G1_N2,tripartite,0.05217969420220069,0.0,False,0.0,0.0,N4;G1,,0.2,TRI_T:N2;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_TRI_N4_G1_N3,tripartite,0.0913144648538512,0.0,False,0.0,0.0,N4;G1,,0.35,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_TRI_N4_G1_N6,tripartite,0.26089847101100344,0.0,False,0.0,0.0,N4;G1,,1.0,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
3,repeated_additive_loop,AUTO_TRI_N5_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N5;G1,,0.35,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_GG_G0_G1,glia_glia,0.4207756328330892,0.2598098772685,False,0.0,0.0,G0;G1,,0.96,GG:G0;GG:G1,False,,local_domains:G0
4,repeated_additive_loop,AUTO_GG_G0_G2,glia_glia,0.05813101051635247,0.0,False,0.0,0.0,G0;G2,,0.42,GG:G0;GG:G2,False,,local_domains:G0
4,repeated_additive_loop,AUTO_GG_G1_G2,glia_glia,0.09134873081141104,0.0,False,0.0,0.0,G1;G2,,0.66,GG:G1;GG:G2,False,,local_domains:G1
4,repeated_additive_loop,AUTO_GN_G0_N0,glia_to_neuron,0.21778025902238196,0.0,False,0.0,0.0,G0,,0.35,GN_IN:N0;GN_OUT:G0,True,0.0,local_domain:G0
4,repeated_additive_loop,AUTO_GN_G0_N1,glia_to_neuron,0.15555732787312998,0.0,False,0.0,0.0,G0,,0.25,GN_IN:N1;GN_OUT:G0,True,0.0,local_domain:G0
4,repeated_additive_loop,AUTO_GN_G0_N3,glia_to_neuron,0.342226121320886,0.0,False,0.0,0.0,G0,,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0
4,repeated_additive_loop,AUTO_GN_G1_N0,glia_to_neuron,0.07889543115620423,0.0,False,0.0,0.0,G1,,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_GN_G1_N2,glia_to_neuron,0.08766159017356026,0.0,False,0.0,0.0,G1,,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_GN_G1_N3,glia_to_neuron,0.4383079508678013,0.0,False,0.0,0.0,G1,,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_GN_G1_N6,glia_to_neuron,0.12272622624298436,0.0,False,0.0,0.0,G1,,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_GN_G2_N1,glia_to_neuron,0.027681433579215466,0.0,False,0.0,0.0,G2,,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2
4,repeated_additive_loop,AUTO_GN_G2_N3,glia_to_neuron,0.08581244409556794,0.0,False,0.0,0.0,G2,,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2
4,repeated_additive_loop,AUTO_GN_G2_N6,glia_to_neuron,0.041522150368823195,0.0,False,0.0,0.0,G2,,0.3,GN_IN:N6;GN_OUT:G2,True,2.0,local_domain:G2
4,repeated_additive_loop,AUTO_TRI_N0_G1_N6,tripartite,0.08766159017356026,0.0,False,0.0,0.0,N0;G1,,0.2,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_TRI_N2_G1_N3,tripartite,0.08799969715731107,0.0,False,0.0,0.0,N2;G1,,0.20299999999999999,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_TRI_N2_G1_N6,tripartite,0.25142770616374593,0.0,False,0.0,0.0,N2;G1,,0.58,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_TRI_N3_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N3;G1,,0.3,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_TRI_N4_G1_N2,tripartite,0.06312887593643297,0.0,False,0.0,0.0,N4;G1,,0.2,TRI_T:N2;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_TRI_N4_G1_N3,tripartite,0.1104755328887577,0.0,False,0.0,0.0,N4;G1,,0.35,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_TRI_N4_G1_N6,tripartite,0.31564437968216486,0.0,False,0.0,0.0,N4;G1,,1.0,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
4,repeated_additive_loop,AUTO_TRI_N5_G1_N6,tripartite,0.0,0.0,False,0.0,0.0,N5;G1,,0.35,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1
