id,type,drivers,driver_mode,growth_threshold,learning_rate,structural_decay,on_threshold,off_threshold,initial_strength,active_initial,activation_requires,max_weight,max_exchange_weight,require_phasic_sensory,affinity,competition_groups,requires_glial_network,mediating_glia,generated_from,source,target,a,b,sensory_neuron,context_glia,target_neuron
AUTO_GG_G0_G1,glia_glia,G0;G1,min,0.13,0.38,0.02,0.34,0.16,0.0,False,,0.8,1.2,True,0.96,GG:G0;GG:G1,False,,local_domains:G0,,,0.0,1.0,,,
AUTO_GG_G0_G2,glia_glia,G0;G2,min,0.13,0.38,0.02,0.34,0.16,0.0,False,,0.8,1.2,True,0.42,GG:G0;GG:G2,False,,local_domains:G0,,,0.0,2.0,,,
AUTO_GG_G1_G2,glia_glia,G1;G2,min,0.13,0.38,0.02,0.34,0.16,0.0,False,,0.8,1.2,True,0.66,GG:G1;GG:G2,False,,local_domains:G1,,,1.0,2.0,,,
AUTO_GN_G0_N0,glia_to_neuron,G0,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.35,GN_IN:N0;GN_OUT:G0,True,0.0,local_domain:G0,0.0,0.0,,,,,
AUTO_GN_G0_N1,glia_to_neuron,G0,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.25,GN_IN:N1;GN_OUT:G0,True,0.0,local_domain:G0,0.0,1.0,,,,,
AUTO_GN_G0_N3,glia_to_neuron,G0,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.55,GN_IN:N3;GN_OUT:G0,True,0.0,local_domain:G0,0.0,3.0,,,,,
AUTO_GN_G1_N0,glia_to_neuron,G1,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.18,GN_IN:N0;GN_OUT:G1,True,1.0,local_domain:G1,1.0,0.0,,,,,
AUTO_GN_G1_N2,glia_to_neuron,G1,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.2,GN_IN:N2;GN_OUT:G1,True,1.0,local_domain:G1,1.0,2.0,,,,,
AUTO_GN_G1_N3,glia_to_neuron,G1,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,1.0,GN_IN:N3;GN_OUT:G1,True,1.0,local_domain:G1,1.0,3.0,,,,,
AUTO_GN_G1_N6,glia_to_neuron,G1,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.28,GN_IN:N6;GN_OUT:G1,True,1.0,local_domain:G1,1.0,6.0,,,,,
AUTO_GN_G2_N1,glia_to_neuron,G2,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.2,GN_IN:N1;GN_OUT:G2,True,2.0,local_domain:G2,2.0,1.0,,,,,
AUTO_GN_G2_N3,glia_to_neuron,G2,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.62,GN_IN:N3;GN_OUT:G2,True,2.0,local_domain:G2,2.0,3.0,,,,,
AUTO_GN_G2_N6,glia_to_neuron,G2,min,0.13,0.34,0.025,0.28,0.13,0.0,False,,4.0,1.0,True,0.3,GN_IN:N6;GN_OUT:G2,True,2.0,local_domain:G2,2.0,6.0,,,,,
AUTO_TRI_N0_G1_N6,tripartite,N0;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,0.2,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1,,,,,0.0,1.0,6.0
AUTO_TRI_N2_G1_N3,tripartite,N2;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,0.20299999999999999,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1,,,,,2.0,1.0,3.0
AUTO_TRI_N2_G1_N6,tripartite,N2;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,0.58,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1,,,,,2.0,1.0,6.0
AUTO_TRI_N3_G1_N6,tripartite,N3;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,0.3,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1,,,,,3.0,1.0,6.0
AUTO_TRI_N4_G1_N2,tripartite,N4;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,0.2,TRI_T:N2;TRI_G:G1,True,1.0,local_domain:G1,,,,,4.0,1.0,2.0
AUTO_TRI_N4_G1_N3,tripartite,N4;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,0.35,TRI_T:N3;TRI_G:G1,True,1.0,local_domain:G1,,,,,4.0,1.0,3.0
AUTO_TRI_N4_G1_N6,tripartite,N4;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,1.0,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1,,,,,4.0,1.0,6.0
AUTO_TRI_N5_G1_N6,tripartite,N5;G1,min,0.12,0.3,0.02,0.42,0.2,0.0,False,,1.35,1.0,True,0.35,TRI_T:N6;TRI_G:G1,True,1.0,local_domain:G1,,,,,5.0,1.0,6.0
