agent,n_seeds,overall_accuracy_mean,overall_accuracy_sd,overall_accuracy_median,pre_reversal_accuracy_mean,pre_reversal_accuracy_sd,pre_reversal_accuracy_median,post_reversal_accuracy_mean,post_reversal_accuracy_sd,post_reversal_accuracy_median,late_pre_accuracy_mean,late_pre_accuracy_sd,late_pre_accuracy_median,late_post_accuracy_mean,late_post_accuracy_sd,late_post_accuracy_median,behavioral_recovery_latency_trials_mean,behavioral_recovery_latency_trials_sd,behavioral_recovery_latency_trials_median,topology_switch_latency_trials_mean,topology_switch_latency_trials_sd,topology_switch_latency_trials_median,topology_bidirectional_selectivity_mean,topology_bidirectional_selectivity_sd,topology_bidirectional_selectivity_median,same_stimulus_opposite_rule_index_mean,same_stimulus_opposite_rule_index_sd,same_stimulus_opposite_rule_index_median
full_spatial_competition,10,0.6849999999999999,0.058369724972698205,0.6772727272727272,0.6420000000000001,0.08066391179868891,0.655,0.7208333333333334,0.06576355889862062,0.7208333333333333,0.8233333333333335,0.12074869321686363,0.8500000000000001,0.89,0.07544108976341311,0.9166666666666667,66.4,25.443619588764836,68.5,39.6,9.754770912510224,35.5,0.9464897679052207,0.1383803405756777,0.9997776793422875,0.5526664389117932,0.04476920432033612,0.5670071414481268
no_nn_consolidation,10,0.6163636363636364,0.046808128762786984,0.625,0.575,0.05759050847723665,0.5700000000000001,0.6508333333333334,0.05232997158346188,0.6458333333333334,0.6199999999999999,0.05921294486432989,0.6166666666666667,0.74,0.12352837430833156,0.7833333333333334,78.16666666666667,27.98154153485234,75.5,34.9,9.182713227702488,33.5,0.9389265919674473,0.13651997436916974,0.9920899967419412,0.0,0.0,0.0
no_tripartite,10,0.5636363636363637,0.04484438965742042,0.5659090909090909,0.519,0.053218626647276626,0.52,0.6008333333333333,0.077325071397747,0.6125,0.5799999999999998,0.10327955589886442,0.5833333333333333,0.6966666666666665,0.08951170693832372,0.7166666666666666,71.66666666666667,35.70807565056771,78.5,,,,0.9864912966684539,0.02453652709656627,0.99983621418823,0.43392505360592787,0.10702963733338543,0.4347718103681091
no_glia_glia,10,0.4963636363636364,0.028811792300617464,0.5,0.475,0.03597838857487152,0.485,0.5141666666666667,0.04985317949913365,0.5166666666666667,0.45666666666666667,0.07209390310003704,0.45,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
frozen_spatial,10,0.4963636363636364,0.028811792300617464,0.5,0.475,0.03597838857487152,0.485,0.5141666666666667,0.04985317949913365,0.5166666666666667,0.45666666666666667,0.07209390310003704,0.45,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
no_competition,10,0.6509090909090909,0.05474710201520588,0.6568181818181817,0.6420000000000001,0.08066391179868891,0.655,0.6583333333333334,0.07254202698444775,0.6416666666666666,0.8233333333333335,0.12074869321686363,0.8500000000000001,0.8833333333333334,0.0671280331866365,0.9166666666666667,83.4,20.25504052493272,87.5,53.0,14.583095236151571,50.5,0.9457066456945163,0.13857249667761334,0.9997027143536257,0.5526664386300375,0.04476920422778125,0.5670071414481268
equal_affinity,10,0.7159090909090909,0.04797315211814414,0.7068181818181818,0.666,0.068507907086214,0.675,0.7575,0.05463826046071417,0.7416666666666667,0.8433333333333334,0.09819356042349202,0.8666666666666667,0.89,0.07544108976341311,0.9166666666666667,52.3,18.03730701752466,54.5,33.1,8.595218308907446,29.0,0.9890612447496594,0.03167324361862786,0.9999369458468417,0.5528165847957849,0.0448204731505293,0.5670071414481268
shuffled_affinity,10,0.6859090909090908,0.05873826397442393,0.6772727272727272,0.643,0.08152027695951207,0.655,0.7216666666666667,0.06564024661218633,0.7208333333333333,0.8233333333333335,0.12074869321686363,0.8500000000000001,0.89,0.07544108976341311,0.9166666666666667,66.4,25.443619588764836,68.5,38.0,10.656244908763854,33.5,0.9475967224112438,0.1383406764692561,0.9997784146990683,0.552666440461073,0.044769204850592145,0.5670071414481268
shuffled_reward_history,10,0.5145454545454546,0.03944053188733077,0.5159090909090909,0.621,0.07415449338299662,0.625,0.4258333333333334,0.056307412401548206,0.43333333333333335,0.7933333333333333,0.14211801738061763,0.8333333333333334,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.3458816195463775,0.13873224034863652,0.38619843057241904,0.24040555622349807,0.05882488626106636,0.2784099010367969
no_reward_replay,10,0.4963636363636364,0.028811792300617464,0.5,0.475,0.03597838857487152,0.485,0.5141666666666667,0.04985317949913365,0.5166666666666667,0.45666666666666667,0.07209390310003704,0.45,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
