agent,n_seeds,overall_accuracy_mean,overall_accuracy_sd,overall_accuracy_median,pre_reversal_accuracy_mean,pre_reversal_accuracy_sd,pre_reversal_accuracy_median,post_reversal_accuracy_mean,post_reversal_accuracy_sd,post_reversal_accuracy_median,late_pre_accuracy_mean,late_pre_accuracy_sd,late_pre_accuracy_median,late_post_accuracy_mean,late_post_accuracy_sd,late_post_accuracy_median,behavioral_recovery_latency_trials_mean,behavioral_recovery_latency_trials_sd,behavioral_recovery_latency_trials_median,topology_switch_latency_trials_mean,topology_switch_latency_trials_sd,topology_switch_latency_trials_median,topology_bidirectional_selectivity_mean,topology_bidirectional_selectivity_sd,topology_bidirectional_selectivity_median,same_stimulus_opposite_rule_index_mean,same_stimulus_opposite_rule_index_sd,same_stimulus_opposite_rule_index_median
full_spatial_competition,10,0.6177272727272727,0.05358797680482904,0.6318181818181818,0.5730000000000001,0.09569047322835574,0.565,0.655,0.08004628290812389,0.6333333333333333,0.68,0.18671956922311117,0.7,0.8133333333333332,0.0958393717904348,0.8333333333333334,73.22222222222223,29.80678520814421,81.0,49.2,13.298287274850264,45.0,0.8193211547978221,0.1950008299913178,0.8982647700939712,0.42130287735777794,0.11871372265920702,0.42585692031417305
no_nn_consolidation,10,0.5704545454545455,0.044805979038246194,0.5613636363636364,0.528,0.06142746399887702,0.53,0.6058333333333333,0.061243543373471404,0.6041666666666666,0.5433333333333333,0.0994428926011753,0.55,0.6533333333333334,0.14159584286287993,0.6499999999999999,86.5,36.004629331980816,101.5,43.1,15.336593856235194,40.5,0.7946392727483861,0.19615065778317292,0.8935551589519322,0.0,0.0,0.0
no_tripartite,10,0.5227272727272727,0.03488140737339799,0.5204545454545455,0.492,0.04779586221049314,0.51,0.5483333333333333,0.06500237412568334,0.5375,0.5099999999999999,0.09692812661139727,0.5333333333333333,0.5966666666666666,0.10824070113740047,0.6,70.33333333333333,33.30665599145812,81.0,,,,0.9125133638754759,0.14195996559705903,0.9549620883942411,0.20213610848163482,0.10819231395838189,0.1943939602206014
no_glia_glia,10,0.4963636363636364,0.028811792300617464,0.5,0.475,0.03597838857487152,0.485,0.5141666666666667,0.04985317949913365,0.5166666666666667,0.45666666666666667,0.07209390310003704,0.45,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
frozen_spatial,10,0.4963636363636364,0.028811792300617464,0.5,0.475,0.03597838857487152,0.485,0.5141666666666667,0.04985317949913365,0.5166666666666667,0.45666666666666667,0.07209390310003704,0.45,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
no_competition,10,0.6095454545454546,0.04005563165374999,0.6113636363636363,0.612,0.0848266205595599,0.62,0.6074999999999999,0.0813134842203271,0.5958333333333333,0.7633333333333334,0.14094040418156958,0.7833333333333334,0.8,0.06666666666666668,0.8333333333333334,88.33333333333333,19.918584287042087,88.0,57.22222222222222,16.361370494076724,54.0,0.8379462156966293,0.22354989838648542,0.9601537610574001,0.46640576364898323,0.11460027230838668,0.5142165096082902
equal_affinity,10,0.6550000000000001,0.06347200998411287,0.6545454545454545,0.621,0.09290975310602338,0.64,0.6833333333333333,0.0756657692882013,0.6625000000000001,0.8033333333333333,0.16059303676308673,0.8333333333333334,0.8400000000000001,0.10159226178366632,0.8333333333333334,68.88888888888889,28.65503640044994,67.0,39.4,12.09407568467581,35.5,0.9057545692344655,0.1591899037471576,0.9978334310578652,0.5053299608752938,0.10423599613436497,0.566478759295815
shuffled_affinity,10,0.6209090909090909,0.05210006618263627,0.634090909090909,0.579,0.09573690801125528,0.59,0.6558333333333334,0.07935406669626056,0.6333333333333333,0.6966666666666667,0.19528390222733621,0.75,0.8133333333333332,0.0958393717904348,0.8333333333333334,73.22222222222223,29.80678520814421,81.0,48.5,12.624931242937084,45.0,0.8211620020148718,0.1977681245967795,0.9127941237125105,0.43306979100224263,0.12445535664653791,0.45389048003059956
shuffled_reward_history,10,0.5018181818181818,0.03515673942369255,0.49318181818181817,0.54,0.09660917830792959,0.52,0.4699999999999999,0.05708992257184501,0.4833333333333333,0.6066666666666667,0.19487254460794448,0.5166666666666666,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.24174209620996273,0.20074015619149316,0.19608281723450674,0.10192747529291177,0.12436410143781883,0.03542128498019098
no_reward_replay,10,0.4963636363636364,0.028811792300617464,0.5,0.475,0.03597838857487152,0.485,0.5141666666666667,0.04985317949913365,0.5166666666666667,0.45666666666666667,0.07209390310003704,0.45,0.5033333333333333,0.0961608734374169,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
