agent,n_seeds,training_trials_mean,training_trials_sd,feedback_topology_complete_trial_mean,feedback_topology_complete_trial_sd,full_meta_architecture_complete_trial_mean,full_meta_architecture_complete_trial_sd,late_feedback_choice_rate_mean,late_feedback_choice_rate_sd,late_both_choice_rate_mean,late_both_choice_rate_sd,late_mean_regret_mean,late_mean_regret_sd,holdout_correct_rate_mean,holdout_correct_rate_sd,holdout_optimal_strategy_rate_mean,holdout_optimal_strategy_rate_sd,holdout_mean_cost_mean,holdout_mean_cost_sd,holdout_mean_best_cost_mean,holdout_mean_best_cost_sd,holdout_mean_regret_mean,holdout_mean_regret_sd,feedback_better_holdout_feedback_rate_mean,feedback_better_holdout_feedback_rate_sd,enum_better_holdout_enum_rate_mean,enum_better_holdout_enum_rate_sd,strategy_crossover_accuracy_mean,strategy_crossover_accuracy_sd,meta_selectivity_index_mean,meta_selectivity_index_sd,feedback_better_holdout_mean_regret_mean,feedback_better_holdout_mean_regret_sd,enum_better_holdout_mean_regret_mean,enum_better_holdout_mean_regret_sd,final_feedback_assembly_min_strength_mean,final_feedback_assembly_min_strength_sd,final_feedback_assembly_all_active_mean,final_feedback_assembly_all_active_sd,final_effort_meta_gate_strength_mean,final_effort_meta_gate_strength_sd,final_effort_meta_gate_active_mean,final_effort_meta_gate_active_sd
full_competition,10,95.0,0.0,13.0,0.0,19.9,0.9944289260117531,0.9866666666666667,0.017213259316477405,0.0,0.0,3.1233333333333335,0.3984692933938295,1.0,0.0,1.0,0.0,20.77777777777778,0.0,20.77777777777778,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
no_strategy_competition,10,95.0,0.0,13.0,0.0,19.9,0.9944289260117531,0.0,0.0,1.0,0.0,37.58666666666666,0.42923992542661493,1.0,0.0,0.33333333333333337,5.851389114294502e-17,44.66666666666667,7.489778066296963e-15,20.77777777777778,0.0,23.88888888888889,0.0,0.0,0.0,0.5999999999999999,1.1702778228589004e-16,0.29999999999999993,5.851389114294502e-17,-0.4,0.0,49.25,0.0,3.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
no_topology_competition,10,95.0,0.0,13.0,0.0,19.9,0.9944289260117531,0.9766666666666668,0.022498285257018424,0.0,0.0,3.2400000000000007,0.4474343872169389,1.0,0.0,0.9777777777777779,0.04684855792842046,21.077777777777776,0.8733989860033701,20.77777777777778,0.0,0.3,0.8733989860033698,0.975,0.07905694150420949,0.9800000000000001,0.06324555320336758,0.9775,0.04779876799899995,0.9550000000000001,0.0955975359979999,0.625,1.976423537605237,0.04,0.12649110640673517,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
frozen_spatial,10,95.0,0.0,,,,,0.0,0.0,0.0,0.0,12.120000000000001,0.36386132211104155,1.0,0.0,0.5555555555555556,0.0,31.333333333333332,0.0,20.77777777777778,0.0,10.555555555555555,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_slow_memory,10,95.0,0.0,,,,,0.0,0.0,0.0,0.0,12.120000000000001,0.36386132211104155,1.0,0.0,0.5555555555555556,0.0,31.333333333333332,0.0,20.77777777777778,0.0,10.555555555555555,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_glia_glia,10,95.0,0.0,,,,,0.0,0.0,0.0,0.0,12.120000000000001,0.36386132211104155,1.0,0.0,0.5555555555555556,0.0,31.333333333333332,0.0,20.77777777777778,0.0,10.555555555555555,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_quotient_gate,10,95.0,0.0,,,,,0.0,0.0,0.0,0.0,12.120000000000001,0.36386132211104155,1.0,0.0,0.5555555555555556,0.0,31.333333333333332,0.0,20.77777777777778,0.0,10.555555555555555,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
no_reentry_edge,10,95.0,0.0,,,,,0.0,0.0,0.0,0.0,12.120000000000001,0.36386132211104155,1.0,0.0,0.5555555555555556,0.0,31.333333333333332,0.0,20.77777777777778,0.0,10.555555555555555,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
no_effort_signal,10,95.0,0.0,13.0,0.0,,,0.0,0.0,0.0,0.0,12.120000000000001,0.36386132211104155,1.0,0.0,0.5555555555555556,0.0,31.333333333333332,0.0,20.77777777777778,0.0,10.555555555555555,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
no_meta_gate,10,95.0,0.0,13.0,0.0,,,0.0,0.0,0.0,0.0,12.120000000000001,0.36386132211104155,1.0,0.0,0.5555555555555556,0.0,31.333333333333332,0.0,20.77777777777778,0.0,10.555555555555555,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,23.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0
