agent,directional_freezing_passes,directional_freezing_total,directional_astro_passes,directional_astro_total,freezing_stage_pearson,astro_stage_pearson,astro_normalized_rmse,final_fear_assembly_min_strength,final_extinction_assembly_min_strength,freeze_EExt_gt_LExt,freeze_EExt_gt_ERet,freeze_FRen_gt_ERet,freeze_FRen_gt_LExt,astro_EExt_gt_LExt,astro_EExt_gt_ERet,astro_FRen_gt_ERet,astro_FRen_gt_LExt,seed,empirical_target_BLA_PL_ratio,empirical_target_EExt_fast_ratio,circuit_effective_fast_gain
full_biological,4,4,4,4,0.9945082675059146,0.9969512267910771,0.2546170497374699,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260817,,,
no_retained_fear_memory,4,4,4,4,0.8319777129167429,0.7744926176967063,0.5187586846998891,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260817,,,
no_context_reinstatement,4,4,4,4,0.9858748829586617,0.9749772413283068,0.15824685594731513,0.0,1.0,1,1,1,1,1,1,1,1,20260817,,,
frozen_plasticity,0,4,0,4,,,,0.0,0.0,0,0,0,0,0,0,0,0,20260817,,,
no_tripartite,0,4,2,4,,0.8661339489987576,1.233930242207145,0.0,0.0,0,0,0,0,0,0,1,1,20260817,,,
no_glia_glia,0,4,0,4,,,,0.0,0.0,0,0,0,0,0,0,0,0,20260817,,,
calex_like,4,4,4,4,0.9945082675059146,0.9969512267910771,0.2546170497374699,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260817,0.3734939759036145,,
hm3dq_like,3,4,3,4,0.4231686299790005,0.6691158659276268,2.3558758177804178,0.9904016064242844,0.2742373274442968,1,0,1,1,1,0,1,1,20260817,,0.5239234449760651,0.5239234449760651
hm4di_like,4,4,4,4,0.9136402937735603,0.8925893601287426,0.14637079930664315,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260817,,1.4013157894752113,1.25
full_biological,4,4,4,4,0.9945082675059146,0.9969512267910771,0.2546170497374699,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260818,,,
no_retained_fear_memory,4,4,4,4,0.8319777129167429,0.7744926176967063,0.5187586846998891,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260818,,,
no_context_reinstatement,4,4,4,4,0.9858748829586617,0.9749772413283068,0.15824685594731513,0.0,1.0,1,1,1,1,1,1,1,1,20260818,,,
frozen_plasticity,0,4,0,4,,,,0.0,0.0,0,0,0,0,0,0,0,0,20260818,,,
no_tripartite,0,4,2,4,,0.8661339489987576,1.233930242207145,0.0,0.0,0,0,0,0,0,0,1,1,20260818,,,
no_glia_glia,0,4,0,4,,,,0.0,0.0,0,0,0,0,0,0,0,0,20260818,,,
calex_like,4,4,4,4,0.9945082675059146,0.9969512267910771,0.2546170497374699,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260818,0.3734939759036145,,
hm3dq_like,3,4,3,4,0.4231686299790005,0.6691158659276268,2.3558758177804178,0.9904016064242844,0.2742373274442968,1,0,1,1,1,0,1,1,20260818,,0.5239234449760651,0.5239234449760651
hm4di_like,4,4,4,4,0.9136402937735603,0.8925893601287426,0.14637079930664315,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260818,,1.4013157894752113,1.25
full_biological,4,4,4,4,0.9945082675059146,0.9969512267910771,0.2546170497374699,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260819,,,
no_retained_fear_memory,4,4,4,4,0.8319777129167429,0.7744926176967063,0.5187586846998891,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260819,,,
no_context_reinstatement,4,4,4,4,0.9858748829586617,0.9749772413283068,0.15824685594731513,0.0,1.0,1,1,1,1,1,1,1,1,20260819,,,
frozen_plasticity,0,4,0,4,,,,0.0,0.0,0,0,0,0,0,0,0,0,20260819,,,
no_tripartite,0,4,2,4,,0.8661339489987576,1.233930242207145,0.0,0.0,0,0,0,0,0,0,1,1,20260819,,,
no_glia_glia,0,4,0,4,,,,0.0,0.0,0,0,0,0,0,0,0,0,20260819,,,
calex_like,4,4,4,4,0.9945082675059146,0.9969512267910771,0.2546170497374699,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260819,0.3734939759036145,,
hm3dq_like,3,4,3,4,0.4231686299790005,0.6691158659276268,2.3558758177804178,0.9904016064242844,0.2742373274442968,1,0,1,1,1,0,1,1,20260819,,0.5239234449760651,0.5239234449760651
hm4di_like,4,4,4,4,0.9136402937735603,0.8925893601287426,0.14637079930664315,0.9904016064242844,1.0,1,1,1,1,1,1,1,1,20260819,,1.4013157894752113,1.25
