category,metric,stage,value,n,sem,source_figure,source_sheet,notes
primary_stage,freezing_percent,PreCon_baseline,8.235294117647058,17,4.609,Fig.1d,Fig.1d (EXT freezing),Direct group means from MOESM6 source data; SEM rounded from extracted source values.
primary_stage,freezing_percent,FCon_CS1,34.31372549019608,17,6.466,Fig.1d,Fig.1d (EXT freezing),Direct group means from MOESM6 source data; SEM rounded from extracted source values.
primary_stage,freezing_percent,FCon_CS3,77.45098039215686,17,4.727,Fig.1d,Fig.1d (EXT freezing),Direct group means from MOESM6 source data; SEM rounded from extracted source values.
primary_stage,freezing_percent,E-Ext,70.7843137254902,17,3.883,Fig.1d,Fig.1d (EXT freezing),Direct group means from MOESM6 source data; SEM rounded from extracted source values.
primary_stage,freezing_percent,L-Ext,28.627450980392155,17,6.003,Fig.1d,Fig.1d (EXT freezing),Direct group means from MOESM6 source data; SEM rounded from extracted source values.
primary_stage,freezing_percent,E-Ret,34.705882352941174,17,4.723,Fig.1d,Fig.1d (EXT freezing),Direct group means from MOESM6 source data; SEM rounded from extracted source values.
primary_stage,freezing_percent,F-Ren,83.52941176470588,17,2.564,Fig.1d,Fig.1d (EXT freezing),Direct group means from MOESM6 source data; SEM rounded from extracted source values.
primary_stage,cs_related_astrocyte_ca_transients,E-Ext,7.352941176470588,17,0.8826,Fig.1h,Fig.1h (AS-cyto_Ca2+ trans),Mean CS-related astrocyte Ca2+ transient count.
primary_stage,cs_related_astrocyte_ca_transients,L-Ext,4.882352941176471,17,0.54153,Fig.1h,Fig.1h (AS-cyto_Ca2+ trans),Mean CS-related astrocyte Ca2+ transient count.
primary_stage,cs_related_astrocyte_ca_transients,E-Ret,4.823529411764706,17,0.6315,Fig.1h,Fig.1h (AS-cyto_Ca2+ trans),Mean CS-related astrocyte Ca2+ transient count.
primary_stage,cs_related_astrocyte_ca_transients,F-Ren,9.785714285714286,14,1.00098,Fig.1h,Fig.1h (AS-cyto_Ca2+ trans),Mean CS-related astrocyte Ca2+ transient count.
